Index,PIT_tag
235,3DD.003BB9A8B6
236,3DD.003BB9A8D4
237,3DD.003BB9A8F4
238,3DD.003BB9A8F5
239,3DD.003BB9AE8B
240,3DD.003BB9AE8C
241,3DD.003BB9AE90
242,3DD.003BB9AE98
243,3DD.003BB9AE99
244,3DD.003BB9AE9D
245,3DD.003BB9AE9E
246,3DD.003BB9AEA0
247,3DD.003BB9AEA2
248,3DD.003BB9AEA3
249,3DD.003BB9AEA4
250,3DD.003BB9AEA7
251,3DD.003BB9AEAC
252,3DD.003BB9AEAE
253,3DD.003BB9AEAF
254,3DD.003BB9AEB1
255,3DD.003BB9AEB6
256,3DD.003BB9AEB8
257,3DD.003BB9AEBA
258,3DD.003BB9AEBF
259,3DD.003BB9AEC0
260,3DD.003BB9AEC1
261,3DD.003BB9AEC2
262,3DD.003BB9AEC9
263,3DD.003BB9AED1
264,3DD.003BB9AED5
265,3DD.003BB9AED9
266,3DD.003BB9AEDD
267,3DD.003BB9AEDE
268,3DD.003BB9AEE4
269,3DD.003BB9AEE5
270,3DD.003BB9AEE6
271,3DD.003BB9AEE8
272,3DD.003BB9AEE9
273,3DD.003BB9AEEB
274,3DD.003BB9AF52
275,3DD.003BB9AF55
276,3DD.003BB9AF56
277,3DD.003BB9AF58
278,3DD.003BB9AF5A
279,3DD.003BB9AF5C
280,3DD.003BB9AF60
281,3DD.003BB9AF62
282,3DD.003BB9AF68
283,3DD.003BB9AF6A
284,3DD.003BB9AF6B
285,3DD.003BB9AF6D
286,3DD.003BB9AF6E
287,3DD.003BB9AF70
288,3DD.003BB9AF76
289,3DD.003BB9AF79
290,3DD.003BB9AF7A
291,3DD.003BB9AF82
292,3DD.003BB9AF83
293,3DD.003BB9AF85
294,3DD.003BB9AF86
295,3DD.003BB9AF87
296,3DD.003BB9AF8A
297,3DD.003BB9AF90
298,3DD.003BB9AF92
299,3DD.003BB9AF9A
300,3DD.003BB9AF9B
301,3DD.003BB9AF9D
302,3DD.003BB9AFA4
303,3DD.003BB9AFAB
304,3DD.003BB9AFB0
305,3DD.003BB9AFB3
306,3DD.003BB9B3A0
307,3DD.003BB9B41F
308,3DD.003BB9B596
309,3DD.003BB9B5C1
310,3DD.003BB9C44B
311,3DD.003BB9C44E
312,3DD.003BC0018D
313,3DD.003BC2CAAD
314,3DD.003BFC4D07
315,3DD.003BFC4D0D
316,3DD.003BFC4D10
317,3DD.003BFC4D17
318,3DD.003BFC4D1E
319,3DD.003BFC4D1F
320,3DD.003BFC4D23
321,3DD.003BFC4D24
322,3DD.003BFC4D26
323,3DD.003BFC4D27
324,3DD.003BFC4D2A
325,3DD.003BFC4D2B
326,3DD.003BFC4D2C
327,3DD.003BFC4D2E
328,3DD.003BFC4D2F
329,3DD.003BFC4D34
330,3DD.003BFC4D37
331,3DD.003BFC4D38
332,3DD.003BFC4D3D
333,3DD.003BFC4D3F
334,3DD.003BFC4D40
335,3DD.003BFC4D47
336,3DD.003BFC4D4E
337,3DD.003BFC4D57
338,3DD.003BFC4D58
339,3DD.003BFC4D5F
